Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection,,,,,,,,,,,
4,44,26.8,177698.3346,2500798.314,0.022,254.272,266.072,,,,,,,,,,,
4,44,27,177698.3346,2500798.314,0.018,224.908,265.945,,,,,,,,,,,
4,44,27.2,177698.3346,2500798.314,0.039,215.726,266.212,,,,,,,,,,,
4,44,27.4,177698.3346,2500798.314,0.022,231.968,266.126,,,,,,,,,,,
4,44,27.6,177698.3346,2500798.314,0.032,213.291,266.213,,,,,,,,,,,
4,44,27.8,177698.3346,2500798.314,0.006,0,265.815,,,,,,,,,,,
4,44,28,177698.3346,2500798.315,0.01,0,266.018,,,,,,,,,,,
4,44,28.2,177698.3346,2500798.315,0.013,336.399,265.973,,,,,,,,,,,
4,44,28.4,177698.3346,2500798.315,0.019,2.953,265.59,,,,,,,,,,,
4,44,28.6,177698.3346,2500798.315,0.004,0,265.634,,,,,,,,,,,
4,44,28.8,177698.3346,2500798.315,0.016,25.289,265.637,,,,,,,,,,,
4,44,29,177698.3346,2500798.315,0.023,5.399,265.481,,,,,,,,,,,
4,44,29.2,177698.3346,2500798.315,0.009,0,265.263,,,,,,,,,,,
4,44,29.4,177698.3346,2500798.316,0.013,334.14,265.443,,,,,,,,,,,
4,44,29.6,177698.3346,2500798.316,0.006,0,265.275,,,,,,,,,,,
4,44,29.8,177698.3346,2500798.316,0.012,239.146,265.397,,,,,,,,,,,
4,44,30,177698.3346,2500798.316,0.005,0,265.066,,,,,,,,,,,
4,44,30.2,177698.3346,2500798.316,0.016,213.212,265.165,,,,,,,,,,,
4,44,30.4,177698.3346,2500798.316,0.004,0,265.153,,,,,,,,,,,
4,44,30.6,177698.3346,2500798.316,0.008,0,265.066,,,,,,,,,,,
4,44,30.8,177698.3346,2500798.317,0.01,106.471,265.02,,,,,,,,,,,
4,44,31,177698.3346,2500798.317,0.014,131.922,264.814,,,,,,,,,,,
4,44,31.2,177698.3346,2500798.317,0.018,185.023,264.862,,,,,,,,,,,
4,44,31.4,177698.3346,2500798.317,0.035,181.812,264.696,,,,,,,,,,,
4,44,31.6,177698.3346,2500798.317,0.041,213.327,264.7,,,,,,,,,,,
4,44,31.8,177698.3346,2500798.317,0.037,209.531,264.717,,,,,,,,,,,
4,44,32,177698.3346,2500798.317,0.024,205.035,264.768,,,,,,,,,,,
4,44,32.2,177698.3346,2500798.317,0.007,0,264.498,,,,,,,,,,,
4,44,32.4,177698.3346,2500798.318,0.007,0,264.509,,,,,,,,,,,
4,44,32.6,177698.3346,2500798.318,0.006,0,264.607,,,,,,,,,,,
4,44,32.8,177698.3346,2500798.318,0.019,22.024,264.438,,,,,,,,,,,
4,44,33,177698.3346,2500798.318,0.013,41.693,264.409,,,,,,,,,,,
4,44,33.2,177698.3346,2500798.318,0.01,314.682,264.429,,,,,,,,,,,
4,44,33.4,177698.3346,2500798.318,0.013,237.767,264.582,,,,,,,,,,,
